Time: 1768248974.3003762, Power: 10.0, Energy: 0.0, DeltaCO2: 0.0, TotalCO2: 0.0
Time: 1768286422.950648, Power: 45.0, Energy: 1.2650713324546813e-05, DeltaCO2: 6.009088829159736e-06, TotalCO2: 9.384668390618428e-05
Time: 1768286423.9814026, Power: 45.0, Energy: 1.2884432077407836e-05, DeltaCO2: 6.120105236768722e-06, TotalCO2: 9.996678914295301e-05
Time: 1768286424.9865034, Power: 10.0, Energy: 2.791946464114719e-06, DeltaCO2: 1.3261745704544916e-06, TotalCO2: 0.0001012929637134075
Time: 1768286425.9935768, Power: 10.0, Energy: 2.79742611779107e-06, DeltaCO2: 1.3287774059507582e-06, TotalCO2: 0.00010262174111935826
Time: 1768286427.0014024, Power: 10.0, Energy: 2.799515591727363e-06, DeltaCO2: 1.3297699060704973e-06, TotalCO2: 0.00010395151102542875
Time: 1768286428.006726, Power: 10.0, Energy: 2.7925656901465524e-06, DeltaCO2: 1.3264687028196123e-06, TotalCO2: 0.00010527797972824837
Time: 1768286429.0139835, Power: 10.0, Energy: 2.7979373931884766e-06, DeltaCO2: 1.3290202617645262e-06, TotalCO2: 0.0001066069999900129
Time: 1768286430.0227306, Power: 10.0, Energy: 2.80207528008355e-06, DeltaCO2: 1.330985758039686e-06, TotalCO2: 0.0001079379857480526
Time: 1768286431.02948, Power: 45.0, Energy: 1.2584367394447327e-05, DeltaCO2: 5.97757451236248e-06, TotalCO2: 0.00011391556026041507
Time: 1768286432.0469534, Power: 10.0, Energy: 2.8263151645660402e-06, DeltaCO2: 1.342499703168869e-06, TotalCO2: 0.00011525805996358394
Time: 1768286433.051394, Power: 10.0, Energy: 2.7901126278771292e-06, DeltaCO2: 1.3253034982416363e-06, TotalCO2: 0.00011658336346182558
Time: 1768286434.0566607, Power: 10.0, Energy: 2.792407406700982e-06, DeltaCO2: 1.3263935181829664e-06, TotalCO2: 0.00011790975698000855
Time: 1768286435.0591552, Power: 10.0, Energy: 2.7847071488698324e-06, DeltaCO2: 1.3227358957131703e-06, TotalCO2: 0.00011923249287572172
Time: 1768286436.0622926, Power: 10.0, Energy: 2.786492639117771e-06, DeltaCO2: 1.3235840035809412e-06, TotalCO2: 0.00012055607687930266
Time: 1768286437.0669599, Power: 10.0, Energy: 2.790742450290256e-06, DeltaCO2: 1.3256026638878715e-06, TotalCO2: 0.00012188167954319054
Time: 1768286438.072782, Power: 10.0, Energy: 2.7939505047268338e-06, DeltaCO2: 1.327126489745246e-06, TotalCO2: 0.0001232088060329358
Time: 1768286439.0791183, Power: 10.0, Energy: 2.79537836710612e-06, DeltaCO2: 1.327804724375407e-06, TotalCO2: 0.0001245366107573112
Time: 1768286440.0833836, Power: 10.0, Energy: 2.789625856611464e-06, DeltaCO2: 1.3250722818904452e-06, TotalCO2: 0.00012586168303920165
Time: 1768286441.0879095, Power: 10.0, Energy: 2.7903497219085695e-06, DeltaCO2: 1.3254161179065704e-06, TotalCO2: 0.0001271870991571082
Time: 1768286442.092018, Power: 38.0, Energy: 1.0598922305636936e-05, DeltaCO2: 5.034488095177544e-06, TotalCO2: 0.00013222158725228575
Time: 1768286443.0965867, Power: 10.0, Energy: 2.7904689311981204e-06, DeltaCO2: 1.3254727423191072e-06, TotalCO2: 0.00013354705999460485
Time: 1768286444.1033437, Power: 10.0, Energy: 2.796547280417548e-06, DeltaCO2: 1.3283599581983354e-06, TotalCO2: 0.00013487541995280318
Time: 1768286445.1075845, Power: 45.0, Energy: 1.2553009390830993e-05, DeltaCO2: 5.962679460644722e-06, TotalCO2: 0.0001408380994134479
Time: 1768286446.1146402, Power: 10.0, Energy: 2.797377109527588e-06, DeltaCO2: 1.3287541270256041e-06, TotalCO2: 0.00014216685354047348
Time: 1768286447.120115, Power: 10.0, Energy: 2.792985571755303e-06, DeltaCO2: 1.326668146583769e-06, TotalCO2: 0.00014349352168705726
Time: 1768286448.1232083, Power: 39.16, Energy: 1.09114253838857e-05, DeltaCO2: 5.182927057345707e-06, TotalCO2: 0.00014867644874440298
Time: 1768286449.1259449, Power: 10.0, Energy: 2.7853793568081327e-06, DeltaCO2: 1.3230551944838629e-06, TotalCO2: 0.00014999950393888685
Time: 1768286450.1275456, Power: 10.0, Energy: 2.782224284278022e-06, DeltaCO2: 1.3215565350320604e-06, TotalCO2: 0.00015132106047391892
Time: 1768286451.1290598, Power: 10.0, Energy: 2.781983878877428e-06, DeltaCO2: 1.321442342466778e-06, TotalCO2: 0.0001526425028163857
Time: 1768286452.132377, Power: 10.0, Energy: 2.7869919935862224e-06, DeltaCO2: 1.3238211969534556e-06, TotalCO2: 0.00015396632401333915
Time: 1768286453.137311, Power: 10.0, Energy: 2.7914835347069634e-06, DeltaCO2: 1.3259546789858077e-06, TotalCO2: 0.00015529227869232496
Time: 1768286454.140427, Power: 10.0, Energy: 2.786433696746826e-06, DeltaCO2: 1.3235560059547422e-06, TotalCO2: 0.0001566158346982797
Time: 1768286455.1440644, Power: 10.0, Energy: 2.7878814273410376e-06, DeltaCO2: 1.3242436779869928e-06, TotalCO2: 0.0001579400783762667
Time: 1768286456.147573, Power: 10.0, Energy: 2.7875237994723852e-06, DeltaCO2: 1.324073804749383e-06, TotalCO2: 0.00015926415218101608
Time: 1768286457.1509788, Power: 10.0, Energy: 2.787238359451294e-06, DeltaCO2: 1.3239382207393648e-06, TotalCO2: 0.00016058809040175545
Time: 1768286458.154516, Power: 42.09, Energy: 1.1733022173245749e-05, DeltaCO2: 5.573185532291731e-06, TotalCO2: 0.0001661612759340472
Time: 1768286459.1583955, Power: 10.0, Energy: 2.7885542975531684e-06, DeltaCO2: 1.324563291337755e-06, TotalCO2: 0.00016748583922538495
Time: 1768286460.162682, Power: 10.0, Energy: 2.789684798982408e-06, DeltaCO2: 1.3251002795166438e-06, TotalCO2: 0.0001688109395049016
Time: 1768286461.1657534, Power: 10.0, Energy: 2.7863091892666287e-06, DeltaCO2: 1.3234968649016485e-06, TotalCO2: 0.00017013443636980323
Time: 1768286462.1700335, Power: 45.0, Energy: 1.255350112915039e-05, DeltaCO2: 5.962913036346435e-06, TotalCO2: 0.00017609734940614966
Time: 1768286463.1733084, Power: 10.0, Energy: 2.7868747711181645e-06, DeltaCO2: 1.323765516281128e-06, TotalCO2: 0.0001774211149224308
Time: 1768286464.1775906, Power: 10.0, Energy: 2.7896728780534535e-06, DeltaCO2: 1.3250946170753905e-06, TotalCO2: 0.0001787462095395062
Time: 1768286465.178967, Power: 10.0, Energy: 2.781601084603204e-06, DeltaCO2: 1.3212605151865217e-06, TotalCO2: 0.00018006747005469272
Time: 1768286466.1814961, Power: 10.0, Energy: 2.784803178575304e-06, DeltaCO2: 1.3227815098232692e-06, TotalCO2: 0.000181390251564516
Time: 1768286467.1847522, Power: 10.0, Energy: 2.786822451485528e-06, DeltaCO2: 1.3237406644556258e-06, TotalCO2: 0.0001827139922289716
Time: 1768286468.188291, Power: 10.0, Energy: 2.7876079082489016e-06, DeltaCO2: 1.3241137564182281e-06, TotalCO2: 0.00018403810598538982
Time: 1768286469.1919432, Power: 10.0, Energy: 2.7879224883185495e-06, DeltaCO2: 1.3242631819513109e-06, TotalCO2: 0.00018536236916734112
Time: 1768286470.1966674, Power: 10.0, Energy: 2.7909007337358263e-06, DeltaCO2: 1.3256778485245175e-06, TotalCO2: 0.00018668804701586563
Time: 1768286471.2001617, Power: 10.0, Energy: 2.787484063042535e-06, DeltaCO2: 1.3240549299452041e-06, TotalCO2: 0.00018801210194581083
Time: 1768286472.2033234, Power: 10.0, Energy: 2.786560191048516e-06, DeltaCO2: 1.3236160907480451e-06, TotalCO2: 0.00018933571803655887
Time: 1768286473.2065477, Power: 10.0, Energy: 2.7867343690660266e-06, DeltaCO2: 1.3236988253063625e-06, TotalCO2: 0.00019065941686186524
Time: 1768286474.2101526, Power: 10.0, Energy: 2.7877913581000435e-06, DeltaCO2: 1.3242008950975205e-06, TotalCO2: 0.00019198361775696275
Time: 1768286475.214007, Power: 10.0, Energy: 2.7884840965270997e-06, DeltaCO2: 1.3245299458503722e-06, TotalCO2: 0.00019330814770281311
Time: 1768286476.2187684, Power: 10.0, Energy: 2.791004048453437e-06, DeltaCO2: 1.3257269230153826e-06, TotalCO2: 0.00019463387462582849
Time: 1768286477.2219195, Power: 10.0, Energy: 2.7865310509999593e-06, DeltaCO2: 1.3236022492249806e-06, TotalCO2: 0.00019595747687505346
Time: 1768286478.225308, Power: 10.0, Energy: 2.7871900134616425e-06, DeltaCO2: 1.32391525639428e-06, TotalCO2: 0.00019728139213144775
Time: 1768286479.2283654, Power: 10.0, Energy: 2.7862707773844404e-06, DeltaCO2: 1.3234786192576091e-06, TotalCO2: 0.00019860487075070536
Time: 1768286480.2304616, Power: 10.0, Energy: 2.7836004892985028e-06, DeltaCO2: 1.3222102324167888e-06, TotalCO2: 0.00019992708098312214
Time: 1768286481.2318997, Power: 10.0, Energy: 2.7817726135253907e-06, DeltaCO2: 1.3213419914245606e-06, TotalCO2: 0.0002012484229745467
Time: 1768286482.235252, Power: 10.0, Energy: 2.7870893478393554e-06, DeltaCO2: 1.3238674402236938e-06, TotalCO2: 0.0002025722904147704
Time: 1768286483.2392826, Power: 10.0, Energy: 2.7889741791619196e-06, DeltaCO2: 1.3247627351019116e-06, TotalCO2: 0.0002038970531498723
Time: 1768286484.242291, Power: 10.0, Energy: 2.7861343489752877e-06, DeltaCO2: 1.3234138157632615e-06, TotalCO2: 0.00020522046696563558
Time: 1768286485.2473712, Power: 45.0, Energy: 1.25635027885437e-05, DeltaCO2: 5.967663824558258e-06, TotalCO2: 0.00021118813079019385
Time: 1768286486.2514539, Power: 10.0, Energy: 2.789118554857042e-06, DeltaCO2: 1.324831313557095e-06, TotalCO2: 0.00021251296210375093
